SalesOrderID,ShipMethodID,ShipToAddressID,TerritoryID
43659,5,985,5
43660,5,921,5
43661,5,517,6
43662,5,482,6
43663,5,1073,4
43664,5,876,1
43665,5,849,1
43666,5,1074,4
43667,5,629,3
43668,5,529,6
43669,5,895,1
43670,5,810,3
43671,5,855,1
43672,5,464,6
43673,5,821,2
43674,5,458,6
43675,5,631,3
43676,5,755,5
43677,5,556,6
43678,5,1021,4
43679,5,525,6
43680,5,1069,4
43681,5,955,5
43682,5,808,2
43683,5,889,1
43684,5,971,5
43685,5,958,5
43686,5,871,1
43687,5,783,2
43688,5,771,2
43689,5,578,4
43690,5,801,3
43691,5,592,4
43692,5,1024,4
43693,5,807,5
43694,5,943,5
43695,5,911,5
43696,5,977,5
43697,1,23148,6
43698,1,24593,7
43699,1,19613,1
43700,1,20278,4
43701,1,20425,9
43702,1,22584,4
43703,1,23967,9
43704,1,16025,9
43705,1,27345,9
43706,1,13264,4
43707,1,20923,4
43708,1,18427,10
43709,1,13951,9
43710,1,25446,9
43711,1,18404,1
43712,1,21867,8
43713,1,11855,4
43714,1,15169,10
43715,1,28213,9
43716,1,23557,9
43717,1,11809,9
43718,1,25346,1
43719,1,13854,4
43720,1,18584,8
43721,1,22146,10
43722,1,23990,10
43723,1,12708,1
43724,1,25572,9
43725,1,23444,8
43726,1,25989,4
43727,1,15502,9
43728,1,20616,4
43729,1,12420,10
43730,1,23733,4
43731,1,14019,9
43732,1,21635,9
43733,1,24572,1
43734,1,23224,1
43735,1,25384,9
43736,1,20336,9
43737,1,29772,8
43738,1,26167,7
43739,1,29262,10
43740,1,28420,9
43741,1,13036,1
43742,1,20966,10
43743,1,12909,9
43744,1,12423,9
43745,1,25018,9
43746,1,28214,9
43747,1,27241,4
43748,1,16663,1
43749,1,17878,1
43750,1,26694,7
43751,1,17421,7
43752,1,25970,8
43753,1,19434,9
43754,1,18700,1
43755,1,21785,4
43756,1,12565,10
43757,1,11541,9
43758,1,14400,4
43759,1,21516,8
43760,1,11694,9
43761,1,24449,9
43762,1,19011,4
43763,1,13961,9
43764,1,18740,9
43765,1,15412,9
43766,1,26446,9
43767,1,14489,9
43768,1,24209,1
43769,1,12365,6
43770,1,21039,1
43771,1,21657,4
43772,1,15700,9
43773,1,19998,9
43774,1,20184,9
43775,1,14561,9
43776,1,15402,8
43777,1,24873,9
43778,1,16433,9
43779,1,20850,9
43780,1,25850,7
43781,1,22857,9
43782,1,13386,9
43783,1,26601,9
43784,1,12491,4
43785,1,17236,7
43786,1,23683,7
43787,1,29348,8
43788,1,25489,10
43789,1,21950,1
43790,1,21871,1
43791,1,11580,9
43792,1,14105,9
43793,1,22601,9
43794,1,24713,9
43795,1,12290,4
43796,1,11860,7
43797,1,11578,9
43798,1,17493,9
43799,1,23813,9
43800,1,16244,6
43801,1,22676,10
43802,1,15981,7
43803,1,17092,6
43804,1,18048,10
43805,1,26084,1
43806,1,26735,9
43807,1,15499,7
43808,1,24940,8
43809,1,12891,9
43810,1,20971,9
43811,1,11877,9
43812,1,13852,4
43813,1,16896,7
43814,1,21939,1
43815,1,15915,9
43816,1,21277,9
43817,1,12674,9
43818,1,16539,9
43819,1,15264,9
43820,1,24200,4
43821,1,24836,4
43822,1,20019,4
43823,1,15988,10
43824,1,11804,1
43825,1,16955,9
43826,1,23743,9
43827,1,27524,9
43828,1,13129,1
43829,1,24776,4
43830,1,18564,9
43831,1,24158,9
43832,1,23837,10
43833,1,16752,6
43834,1,15471,7
43835,1,17401,6
43836,1,19261,6
43837,1,29335,9
43838,1,16330,4
43839,1,20037,1
43840,1,25544,7
43841,1,28149,8
43842,1,18492,9
43843,5,756,3
43844,5,503,6
43845,5,930,5
43846,5,498,6
43847,5,480,6
43848,5,851,1
43849,5,1104,1
43850,5,476,6
43851,5,816,2
43852,5,539,6
43853,5,446,6
43854,5,478,6
43855,5,462,6
43856,5,509,6
43857,5,534,6
43858,5,758,2
43859,5,1032,4
43860,5,832,1
43861,5,974,5
43862,5,919,5
43863,5,611,4
43864,5,1052,4
43865,5,596,4
43866,5,864,1
43867,5,848,1
43868,5,523,6
43869,5,1099,1
43870,5,765,2
43871,5,1076,3
43872,5,1028,4
43873,5,1001,4
43874,5,562,3
43875,5,30,5
43876,5,784,2
43877,5,840,1
43878,5,770,2
43879,5,540,6
43880,5,501,6
43881,5,598,3
43882,5,500,6
43883,5,829,2
43884,5,11382,3
43885,5,1070,4
43886,5,497,6
43887,5,970,5
43888,5,466,6
43889,5,553,6
43890,5,504,6
43891,5,449,6
43892,5,1015,4
43893,5,505,6
43894,5,892,1
43895,5,884,1
43896,5,588,4
43897,5,1040,4
43898,5,459,6
43899,5,600,3
43900,5,954,5
43901,5,1053,4
43902,5,972,5
43903,5,915,5
43904,5,587,4
43905,5,979,5
43906,5,593,4
43907,5,792,2
43908,5,802,2
43909,5,869,1
43910,5,913,5
43911,5,880,1
43912,5,1056,4
43913,5,564,4
43914,5,1054,1
43915,5,785,3
43916,5,1046,3
43917,5,857,1
43918,1,18086,6
43919,1,27575,7
43920,1,27151,4
43921,1,18516,9
43922,1,26226,8
43923,1,28877,4
43924,1,29716,7
43925,1,28478,9
43926,1,18542,9
43927,1,26702,9
43928,1,14404,9
43929,1,25405,9
43930,1,28267,4
43931,1,17636,8
43932,1,26403,9
43933,1,22987,9
43934,1,18711,9
43935,1,16643,10
43936,1,26957,4
43937,1,24245,9
43938,1,15337,9
43939,1,21292,9
43940,1,17574,9
43941,1,19186,10
43942,1,14866,9
43943,1,19488,4
43944,1,18844,9
43945,1,19751,9
43946,1,23516,9
43947,1,14056,9
43948,1,21998,9
43949,1,19937,4
43950,1,20434,4
43951,1,14933,9
43952,1,24077,9
43953,1,21405,10
43954,1,16657,10
43955,1,25143,10
43956,1,26358,9
43957,1,12047,4
43958,1,18015,9
43959,1,23018,9
43960,1,28971,9
43961,1,19605,4
43962,1,26676,4
43963,1,22808,9
43964,1,23287,9
43965,1,27731,9
43966,1,24751,9
43967,1,25586,1
43968,1,28431,4
43969,1,21890,4
43970,1,29208,9
43971,1,13844,9
43972,1,25027,6
43973,1,13444,4
43974,1,25873,10
43975,1,24395,8
43976,1,18656,4
43977,1,25353,9
43978,1,25351,1
43979,1,12682,1
43980,1,22583,9
43981,1,18948,9
43982,1,25894,9
43983,1,27287,1
43984,1,18444,8
43985,1,13896,8
43986,1,24410,4
43987,1,28003,4
43988,1,21821,10
43989,1,29742,4
43990,1,17167,1
43991,1,23489,9
43992,1,26991,9
43993,1,19246,9
43994,1,20835,4
43995,1,13493,6
43996,1,28195,4
43997,1,26341,4
43998,1,18528,9
43999,1,19357,1
44000,1,21592,4
44001,1,24719,4
44002,1,16629,4
44003,1,21119,8
44004,1,26326,4
44005,1,16299,6
44006,1,21462,9
44007,1,13775,9
44008,1,25531,1
44009,1,16988,1
44010,1,16926,10
44011,1,28923,8
44012,1,24347,9
44013,1,24913,9
44014,1,17086,4
44015,1,17306,10
44016,1,14898,10
44017,1,26037,1
44018,1,26090,1
44019,1,11429,9
44020,1,13520,9
44021,1,25324,9
44022,1,21025,6
44023,1,12371,6
44024,1,14001,9
44025,1,25292,9
44026,1,29375,9
44027,1,13324,6
44028,1,27841,9
44029,1,26423,9
44030,1,24044,7
44031,1,24291,10
44032,1,22782,10
44033,1,15526,9
44034,1,28770,9
44035,1,28217,9
44036,1,13001,9
44037,1,22224,9
44038,1,21186,4
44039,1,12447,7
44040,1,26048,9
44041,1,26228,9
44042,1,13496,10
44043,1,26729,10
44044,1,14914,10
44045,1,21007,7
44046,1,20990,1
44047,1,28360,4
44048,1,26280,9
44049,1,16438,8
44050,1,17773,9
44051,1,17906,10
44052,1,26101,9
44053,1,24536,8
