"Column 0","ShipMethodID","ShipToAddressID","TerritoryID"
"43712","1","21867","8"
"43720","1","18584","8"
"43725","1","23444","8"
"43737","1","29772","8"
"43752","1","25970","8"
"43759","1","21516","8"
"43776","1","15402","8"
"43787","1","29348","8"
"43808","1","24940","8"
"43841","1","28149","8"
"43922","1","26226","8"
"43931","1","17636","8"
"43975","1","24395","8"
"43984","1","18444","8"
"43985","1","13896","8"
"44003","1","21119","8"
"44011","1","28923","8"
"44049","1","16438","8"
"44053","1","24536","8"
"44054","1","17571","8"
"44055","1","29271","8"
"44056","1","23197","8"
"44068","1","17999","8"
"44141","1","26165","8"
"44158","1","23463","8"
"44192","1","27248","8"
"44216","1","14109","8"
"44240","1","28968","8"
"44258","1","26385","8"
"44267","1","23909","8"
"44361","1","29528","8"
"44373","1","22873","8"
"44376","1","15257","8"
"44393","1","19855","8"
"44402","1","24255","8"
"44413","1","18273","8"
"44421","1","16971","8"
"44422","1","22936","8"
"44426","1","19827","8"
"44444","1","27466","8"
"44463","1","24087","8"
"44472","1","22684","8"
"44479","1","18676","8"
"44571","1","29763","8"
"44580","1","21141","8"
"44590","1","26049","8"
"44598","1","15955","8"
"44604","1","21627","8"
"44611","1","22302","8"
"44619","1","29057","8"
"44622","1","28326","8"
"44624","1","15593","8"
"44646","1","11407","8"
"44673","1","13452","8"
"44704","1","28370","8"
"44722","1","15569","8"
"44723","1","22977","8"
"44808","1","17293","8"
"44831","1","28654","8"
"44837","1","13619","8"
"44838","1","27060","8"
"44842","1","16229","8"
"44850","1","21842","8"
"44902","1","24053","8"
"44905","1","19383","8"
"44907","1","14030","8"
"44917","1","11629","8"
"44918","1","23919","8"
"44949","1","18513","8"
"44968","1","18171","8"
"45002","1","29277","8"
"45007","1","22973","8"
"45009","1","12305","8"
"45023","1","16921","8"
"45024","1","23361","8"
"45032","1","19648","8"
"45100","1","25120","8"
"45199","1","21725","8"
"45239","1","13077","8"
"45250","1","23686","8"
"45251","1","24146","8"
"45354","1","15995","8"
"45364","1","14889","8"
"45393","1","17452","8"
"45400","1","28614","8"
"45410","1","29137","8"
"45426","1","19553","8"
"45427","1","17218","8"
"45432","1","24627","8"
"45440","1","15018","8"
"45449","1","23269","8"
"45455","1","18705","8"
"45477","1","26663","8"
"45483","1","12161","8"
"45492","1","23264","8"
"45509","1","26178","8"
"45580","1","17954","8"
"45609","1","11707","8"
"45612","1","29876","8"
"45616","1","26934","8"
"45623","1","12546","8"
"45631","1","16552","8"
"45632","1","12704","8"
"45643","1","28502","8"
"45664","1","22614","8"
"45672","1","11566","8"
"45683","1","13749","8"
"45692","1","28344","8"
"45704","1","27704","8"
"45725","1","13977","8"
"45728","1","22157","8"
"45749","1","15564","8"
"45765","1","24678","8"
"45775","1","20064","8"
"45817","1","16420","8"
"45836","1","28365","8"
"45840","1","15197","8"
"45862","1","15508","8"
"45868","1","27915","8"
"45869","1","21175","8"
"45872","1","16326","8"
"45879","1","17295","8"
"45890","1","27429","8"
"45891","1","26219","8"
"45894","1","29605","8"
"45917","1","18874","8"
"45924","1","27682","8"
"45935","1","16870","8"
"45937","1","13155","8"
"45967","1","22370","8"
"45971","1","16593","8"
"45972","1","24332","8"
"45983","1","11422","8"
"45992","1","20721","8"
"46012","1","28077","8"
"46128","1","21471","8"
"46141","1","18428","8"
"46146","1","29824","8"
"46147","1","21543","8"
"46160","1","11923","8"
"46184","1","18734","8"
"46191","1","23291","8"
"46229","1","15124","8"
"46238","1","19272","8"
"46239","1","28048","8"
"46245","1","17618","8"
"46250","1","17393","8"
"46252","1","29332","8"
"46277","1","11794","8"
"46278","1","17197","8"
"46293","1","29738","8"
"46305","1","28678","8"
"46394","1","23402","8"
"46403","1","28497","8"
"46409","1","17692","8"
"46429","1","18823","8"
"46437","1","22401","8"
"46442","1","23703","8"
"46463","1","28892","8"
"46471","1","22771","8"
"46473","1","16050","8"
"46486","1","29232","8"
"46501","1","13117","8"
"46515","1","28924","8"
"46528","1","19543","8"
"46537","1","22931","8"
"46542","1","12965","8"
"46562","1","23754","8"
"46585","1","27856","8"
"46598","1","12108","8"
"46676","1","15163","8"
"46677","1","26381","8"
"46678","1","26256","8"
"46684","1","26562","8"
"46687","1","12212","8"
"46701","1","27787","8"
"46702","1","17335","8"
"46710","1","11986","8"
"46730","1","24422","8"
"46731","1","29486","8"
"46752","1","14673","8"
"46758","1","19042","8"
"46761","1","28540","8"
"46770","1","28157","8"
"46810","1","29131","8"
"46830","1","28128","8"
"46855","1","26911","8"
"46865","1","29124","8"
"46875","1","19417","8"
"46876","1","16166","8"
"46919","1","11512","8"
"46921","1","22933","8"
"47071","1","23802","8"
"47072","1","25954","8"
"47094","1","24173","8"
"47146","1","20181","8"
"47150","1","23680","8"
"47165","1","23123","8"
"47166","1","14669","8"
"47176","1","13314","8"
"47187","1","25990","8"
"47193","1","25613","8"
"47199","1","22891","8"
"47224","1","17986","8"
"47231","1","27407","8"
"47232","1","24879","8"
"47255","1","22700","8"
"47271","1","27714","8"
"47283","1","18828","8"
"47286","1","23574","8"
"47294","1","29629","8"
"47339","1","14054","8"
"47462","1","13667","8"
"47491","1","19487","8"
"47494","1","17794","8"
"47495","1","13205","8"
"47504","1","24336","8"
"47513","1","19385","8"
"47514","1","15861","8"
"47528","1","19687","8"
"47547","1","22843","8"
"47555","1","13259","8"
"47565","1","29445","8"
"47574","1","19580","8"
"47579","1","24330","8"
"47596","1","13278","8"
"47606","1","17841","8"
"47629","1","22811","8"
"47634","1","29691","8"
"47644","1","16510","8"
"47653","1","26434","8"
"47747","1","26361","8"
"47761","1","29284","8"
"47779","1","29116","8"
"47792","1","14215","8"
"47801","1","11913","8"
"47812","1","23821","8"
"47824","1","22193","8"
"47825","1","13609","8"
"47840","1","25228","8"
"47845","1","20086","8"
"47847","1","25126","8"
"47879","1","20315","8"
"47890","1","14066","8"
"47891","1","25961","8"
"47914","1","14736","8"
"47933","1","16738","8"
"47937","1","29547","8"
"47956","1","18070","8"
"48095","1","27273","8"
"48099","1","23396","8"
"48103","1","19328","8"
"48110","1","21144","8"
"48113","1","28796","8"
"48118","1","22956","8"
"48127","1","14368","8"
"48137","1","14047","8"
"48142","1","21609","8"
"48143","1","16708","8"
"48148","1","25423","8"
"48149","1","16172","8"
"48165","1","19265","8"
"48170","1","19656","8"
"48171","1","12237","8"
"48178","1","27772","8"
"48180","1","21157","8"
"48186","1","18811","8"
"48198","1","21008","8"
"48202","1","27680","8"
"48203","1","17722","8"
"48214","1","18736","8"
"48216","1","23505","8"
"48245","1","23000","8"
"48246","1","26215","8"
"48247","1","25912","8"
"48278","1","13092","8"
"48400","1","28005","8"
"48401","1","14150","8"
"48425","1","13216","8"
"48443","1","26148","8"
"48461","1","18579","8"
"48462","1","22049","8"
"48487","1","29058","8"
"48488","1","19586","8"
"48517","1","25367","8"
"48519","1","29396","8"
"48520","1","13096","8"
"48521","1","13172","8"
"48534","1","15202","8"
"48547","1","28896","8"
"48548","1","16597","8"
"48551","1","28509","8"
"48563","1","18260","8"
"48569","1","15118","8"
"48580","1","16557","8"
"48592","1","11683","8"
"48600","1","11410","8"
"48602","1","12294","8"
"48634","1","27208","8"
"48655","1","16240","8"
"48656","1","11746","8"
"48658","1","12440","8"
"48668","1","26274","8"
"48671","1","18762","8"
"48684","1","14930","8"
"48692","1","21588","8"
"48704","1","22040","8"
"48708","1","21073","8"
"48724","1","25210","8"
"48795","1","26706","8"
"48804","1","21081","8"
"48808","1","20097","8"
"48823","1","19006","8"
"48839","1","12017","8"
"48859","1","12412","8"
"48894","1","19477","8"
"48897","1","15787","8"
"48910","1","27662","8"
"48912","1","27469","8"
"48920","1","12177","8"
"48940","1","20334","8"
"48957","1","13051","8"
"48964","1","24032","8"
"48965","1","12892","8"
"48977","1","15826","8"
"48988","1","29588","8"
"48991","1","24957","8"
"49012","1","22653","8"
"49020","1","13073","8"
"49026","1","22876","8"
"49182","1","19921","8"
"49183","1","21637","8"
"49192","1","14508","8"
"49195","1","12772","8"
"49196","1","11984","8"
"49225","1","18075","8"
"49229","1","25344","8"
"49252","1","28274","8"
"49263","1","14717","8"
"49290","1","20543","8"
"49292","1","20055","8"
"49293","1","23365","8"
"49295","1","25373","8"
"49303","1","17230","8"
"49312","1","13424","8"
"49324","1","12281","8"
"49330","1","24184","8"
"49331","1","15394","8"
"49339","1","28498","8"
"49352","1","20230","8"
"49375","1","13018","8"
"49386","1","24357","8"
"49387","1","11950","8"
"49388","1","11404","8"
"49402","1","14829","8"
"49403","1","26194","8"
"49410","1","15726","8"
"49412","1","23890","8"
"49414","1","21585","8"
"49415","1","17830","8"
"49435","1","20564","8"
"49436","1","25883","8"
"49576","1","25178","8"
"49577","1","20442","8"
"49578","1","23066","8"
"49582","1","14702","8"
"49586","1","27670","8"
"49604","1","24668","8"
"49605","1","19209","8"
"49607","1","25471","8"
"49616","1","17823","8"
"49632","1","13032","8"
"49638","1","25540","8"
"49640","1","16942","8"
"49647","1","24037","8"
"49671","1","26990","8"
"49693","1","13602","8"
"49695","1","11647","8"
"49708","1","22427","8"
"49716","1","16763","8"
"49718","1","29631","8"
"49719","1","25662","8"
"49728","1","26301","8"
"49729","1","12617","8"
"49744","1","13502","8"
"49747","1","13817","8"
"49778","1","15215","8"
"49779","1","17447","8"
"49781","1","23204","8"
"49783","1","14320","8"
"49802","1","19502","8"
"49895","1","19615","8"
"49898","1","25900","8"
"49899","1","21590","8"
"49902","1","28417","8"
"49919","1","14049","8"
"49938","1","26482","8"
"49963","1","26766","8"
"49967","1","19712","8"
"49978","1","16313","8"
"49993","1","14472","8"
"49994","1","21577","8"
"49996","1","29148","8"
"49997","1","27728","8"
"50005","1","18501","8"
"50006","1","19965","8"
"50014","1","22860","8"
"50015","1","25180","8"
"50016","1","16086","8"
"50018","1","14389","8"
"50020","1","23158","8"
"50022","1","20026","8"
"50033","1","17882","8"
"50038","1","12405","8"
"50048","1","22870","8"
"50053","1","27691","8"
"50070","1","11473","8"
"50082","1","22262","8"
"50084","1","18442","8"
"50115","1","17134","8"
"50116","1","21646","8"
"50117","1","21838","8"
"50130","1","22619","8"
"50145","1","23326","8"
"50152","1","24633","8"
"50164","1","26567","8"
"50179","1","26927","8"
"50180","1","15977","8"
"50181","1","27919","8"
"50183","1","20441","8"
"50185","1","15076","8"
"50338","1","16281","8"
"50348","1","26926","8"
"50349","1","14353","8"
"50370","1","15690","8"
"50377","1","27177","8"
"50386","1","23156","8"
"50389","1","15625","8"
"50403","1","18185","8"
"50414","1","17655","8"
"50415","1","23763","8"
"50432","1","13233","8"
"50433","1","26184","8"
"50438","1","11853","8"
"50465","1","13082","8"
"50471","1","13468","8"
"50476","1","27912","8"
"50503","1","29739","8"
"50513","1","28884","8"
"50519","1","28419","8"
"50534","1","25359","8"
"50541","1","14636","8"
"50554","1","24501","8"
"50555","1","20048","8"
"50558","1","16479","8"
"50562","1","16063","8"
"50569","1","18291","8"
"50586","1","15308","8"
"50595","1","13272","8"
"50599","1","11570","8"
"50601","1","21463","8"
"50607","1","24539","8"
"50628","1","12321","8"
"50630","1","24962","8"
"50645","1","26875","8"
"50646","1","17845","8"
"50647","1","22355","8"
"50650","1","21363","8"
"50761","1","13108","8"
"50762","1","18439","8"
"50797","1","19216","8"
"50799","1","19193","8"
"50806","1","16829","8"
"50813","1","23936","8"
"50817","1","11691","8"
"50818","1","12689","8"
"50843","1","24295","8"
"50875","1","15589","8"
"50876","1","14314","8"
"50877","1","14607","8"
"50883","1","12357","8"
"50906","1","11996","8"
"50910","1","20202","8"
"50911","1","11415","8"
"50919","1","16158","8"
"50922","1","19869","8"
"50934","1","27059","8"
"50938","1","23372","8"
"50960","1","28636","8"
"50964","1","12204","8"
"50997","1","20677","8"
"50998","1","28558","8"
"51002","1","15249","8"
"51003","1","24093","8"
"51012","1","17647","8"
"51024","1","19786","8"
"51039","1","18416","8"
"51044","1","12470","8"
"51045","1","17758","8"
"51052","1","16451","8"
"51075","1","26162","8"
"51098","5","747","8"
"51109","5","731","8"
"51125","5","746","8"
"51155","5","741","8"
"51161","5","719","8"
"51166","5","746","8"
"51169","5","732","8"
"51170","5","750","8"
"51171","5","750","8"
"51172","5","736","8"
"51178","1","24678","8"
"51180","1","12237","8"
"51185","1","27933","8"
"51188","1","15076","8"
"51191","1","25344","8"
"51202","1","28965","8"
"51207","1","27429","8"
